URL;Aantal unieke paginaweergaves;;;;
/methylfenidaat;232.775;;;;
/oxazepam;229.497;;;;
/macrogol;225.024;;;;
/amoxicilline;218.234;;;;
/naproxen;190.498;;;;
/ibuprofen;185.681;;;;
/diclofenac;180.738;;;;
/pregabaline;178.504;;;;
/oxycodon;175.083;;;;
/omeprazol;171.573;;;;
/tramadol;171.071;;;;
/citalopram;161.895;;;;
/nitrofurantoine;161.057;;;;
/paracetamol;157.657;;;;
/amitriptyline;153.589;;;;
/quetiapine;149.480;;;;
/miconazol-op-de-huid;148.634;;;;
/metoprolol;146.133;;;;
/acetylcysteine;141.725;;;;
/sertraline;137.934;;;;
/codeine;137.610;;;;
/pantoprazol;137.128;;;;
/semaglutide;136.353;;;;
/verzachtende-en-beschermende-creme-of-zalf;132.930;;;;
/prednison;132.893;;;;
/fusidinezuur-op-de-huid;132.078;;;;
/flucloxacilline;131.338;;;;
/doxycycline;126.993;;;;
/cetirizine;117.592;;;;
/desloratadine;115.717;;;;
/escitalopram;113.382;;;;
/terbinafine-tabletten;107.812;;;;
/fluticason-in-de-neus;107.722;;;;
/amoxicilline-met-clavulaanzuur;107.478;;;;
/lorazepam;106.712;;;;
/temazepam;106.262;;;;
/amlodipine;106.078;;;;
/dexamethason;105.933;;;;
/levothyroxine;105.136;;;;
/salbutamol-inhalatie;103.509;;;;
/sildenafil;102.781;;;;
/ferrofumaraat;101.807;;;;
/psylliumvezels;101.290;;;;
/dexamfetamine;101.037;;;;
/bupropion;100.057;;;;
/kunsttranen;96.886;;;;
/testosteron;96.484;;;;
/fentanyl;96.190;;;;
/loperamide;95.822;;;;
/zolpidem;95.802;;;;
/metronidazol;94.897;;;;
/metformine;94.100;;;;
/diazepam;93.359;;;;
/triamcinolonacetonide-op-de-huid;92.645;;;;
/noscapine;92.510;;;;
/azitromycine;89.592;;;;
/ciprofloxacine;89.142;;;;
/vitamine-d;88.234;;;;
/prednisolon;87.772;;;;
/ors;84.976;;;;
/fluconazol;84.496;;;;
/melatonine;83.732;;;;
/isotretinoine;83.697;;;;
/atorvastatine;83.536;;;;
/mebendazol;81.233;;;;
